sha256,product_uid,variant,file_type,furniture_type,subtype,tags_csv,brand,name
e8bf874cc91dde488724f875d7ed162a9bdbcfe01ae83583893755eff9d36883,herman_miller:cosm_chairs,cosm_chair_mid_back_leaf_arms,autocad_3d,Chair,,,herman_miller,cosm chairs
34887c047fcac03aa97661500d04ea52af65273cb1106d9377557a22e4dc7e3e,herman_miller:cosm_chairs,cosm_chair_mid_back_leaf_arms,sketchup,Chair,,,herman_miller,cosm chairs
470e56f7c65340594235c15d8179c23fb7e24e47baf41a087e7608cd99ce3eda,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_chair_executive,autocad_3d,Chair,,,herman_miller,eames aluminum group chairs
70f7423df3fb2c31441774a3b170039ea69fb167af9b4ab8defd80116f4f59ed,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_chair_executive,sketchup,Chair,,,herman_miller,eames aluminum group chairs
44cf97f1bd6d49207438da4b20a23e5d9c50082af60f282aa3dbf01cc77b7a8f,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_chair_executive,revit,Chair,,,herman_miller,eames aluminum group chairs
80a8fd1fb35b231755af0ac915587ed59c12e15a21fc1e249e1ae241afd16f32,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_chair_management_armless,autocad_3d,Chair,,,herman_miller,eames aluminum group chairs
90101796e9b89a7ce6568a0191a55d9c4c88d3a88149ab8d4b68877486cd3dcc,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_chair_management_armless,sketchup,Chair,,,herman_miller,eames aluminum group chairs
d87ded108852724a5d2ffb4743dee44baa6d01bceb002a17794bd31661e30910,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_chair_management_with_arms,revit,Chair,,,herman_miller,eames aluminum group chairs
b9d3f3823cd757b84d77a0b9383cded0637fcdfce7bc523075e0102becc4e9ae,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_chair_management_with_arms,autocad_3d,Chair,,,herman_miller,eames aluminum group chairs
3cb0c4125c3e2db9e193e935c7dec5128a6bbce8ff3431072e81dc1195fe9b15,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_chair_management_with_arms,sketchup,Chair,,,herman_miller,eames aluminum group chairs
027cfafaae5005cdcd9c10be307e3d84f6a20b115beb2ecfa230c928f6a4ee11,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_lounge_chair,autocad_3d,Chair,,,herman_miller,eames aluminum group chairs
240da10358ed6ff219fbfb80f7b7e0a285a5c20cdd125c96d78ab6b811cab5e4,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_lounge_chair,sketchup,Chair,,,herman_miller,eames aluminum group chairs
de711b015c0a6d4a4faa4fa1ea090f5f4c10a875aea45e942c9b53fff549e315,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_lounge_chair,revit,Chair,,,herman_miller,eames aluminum group chairs
c8bed1c4f2df0ee844fa1450fa5fbe98ee52c3708f13933496e5fb6bb631d365,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_ottoman,autocad_3d,Ottoman,,,herman_miller,eames aluminum group chairs
1d2594762f8e6bfa8a700e897ab89bc1c689c93f69397e8b7b990e4b56b8fec5,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_ottoman,sketchup,Ottoman,,,herman_miller,eames aluminum group chairs
0de846249b3e7560d34ebdb51ecb164b9ffb6f36dd35243a4a215f3c3cf8fce7,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_ottoman,revit,Ottoman,,,herman_miller,eames aluminum group chairs
d0352dcb50e4263655d85d9290e9cdc77d5dd6bad03318644b72cb3e74d2c047,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_side_chair_armless,autocad_3d,Chair,,,herman_miller,eames aluminum group chairs
