product_uid,sha256,variant,file_type,ext,stored_path,size_bytes,source_url,source_page,matched_image_path,brand,product_name,slug,category,product_card_image_path,thumbnail_url
herman_miller:aeron_chairs,2a492ca6c215242daca61ee3334f5465e1a191ee8ebe6a69c4db6317c1e9f7c2,aeron_chair_c_size_fully_adjustable_arms,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_c_size_fully_adjustable_arms/sketchup/HMI_Aeron_Chair_C_Size_Fully_Adjustable_Arms.skp,5295427,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,ce4517176cfc2f5a8c14fc68bb98025af74c84cfc246dbae0c8147521bbbea9c,aeron_chair_c_size_height_adjustable_arms,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_c_size_height_adjustable_arms/sketchup/HMI_Aeron_Chair_C_Size_Height_Adjustable_Arms.skp,5304367,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,71a86e0443af96b4382a4eab0f43190b5f55ca345f8dacbb01e43b3bdd8e8193,caper_stacking_chair_armless,autocad_3d,.dwg,herman_miller/caper-stacking-chair/caper_stacking_chair_armless/autocad_3d/HMI_Caper_Stacking_Chair_Armless_3D.dwg,215806,,,images/herman_miller/caper_stacking_chair/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,e1d4209f84b3220c13023eb7938248c0eb30715c20d7614dade2446bdea660ca,caper_stacking_chair_fixed_arms,autocad_3d,.dwg,herman_miller/caper-stacking-chair/caper_stacking_chair_fixed_arms/autocad_3d/HMI_Caper_Stacking_Chair_Fixed_Arms_3D.dwg,261137,,,images/herman_miller/caper_stacking_chair/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,dc0d9c519b7a25adf4ac0d17364f936b91852753beaba05fa33a74935e353b02,caper_stacking_chair_tablet_arm_left,autocad_3d,.dwg,herman_miller/caper-stacking-chair/caper_stacking_chair_tablet_arm_left/autocad_3d/HMI_Caper_Stacking_Chair_Tablet_Arm_Left_3D.dwg,974416,,,images/herman_miller/caper_stacking_chair/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,cbd671670b009420f9b34d46860bfaf7b1e45c4ebb978b5723ede65aa5cc8fa3,caper_stacking_chair_tablet_arm_right,autocad_3d,.dwg,herman_miller/caper-stacking-chair/caper_stacking_chair_tablet_arm_right/autocad_3d/HMI_Caper_Stacking_Chair_Tablet_Arm_Right_3D.dwg,937685,,,images/herman_miller/caper_stacking_chair/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,9ffb4711a1728294a9da5f401795a9cb73234b43ffe3ec6060705d6b73c51031,caper_stacking_chair_fixed_arms,revit,.rfa,herman_miller/caper-stacking-chair/caper_stacking_chair_fixed_arms/revit/extracted/HermanMiller_Seating_CaperStackingChair.rfa,1683456,,,images/herman_miller/caper_stacking_chair/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,347063e50b0b18e91d45698e839c6e8a8f67fcd44a8b541f21099bdd85fd372a,caper_stacking_chair_tablet_arm_right,revit,.rfa,herman_miller/caper-stacking-chair/caper_stacking_chair_tablet_arm_right/revit/extracted/HermanMiller_Seating_CaperStackingChairwithTabletArm.rfa,2211840,,,images/herman_miller/caper_stacking_chair/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,41773c6d90faeade26ccd2c3e95fc6fd22d0922f423b0b4d09066fedb2eb01d6,caper_stacking_chair_armless,sketchup,.skp,herman_miller/caper-stacking-chair/caper_stacking_chair_armless/sketchup/HMI_Caper_Stacking_Chair_Armless.skp,680816,,,images/herman_miller/caper_stacking_chair/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,e1e800f836d52cafb052b061485d34a101133d5e31d0dc9faa7e026483fe8796,caper_stacking_chair_fixed_arms,sketchup,.skp,herman_miller/caper-stacking-chair/caper_stacking_chair_fixed_arms/sketchup/HMI_Caper_Stacking_Chair_Fixed_Arms.skp,809748,,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,d4b50baa264e72dac126692498ccb2f57aa8b3b35b1861aca3be13db278c39af,caper_stacking_chair_tablet_arm_left,sketchup,.skp,herman_miller/caper-stacking-chair/caper_stacking_chair_tablet_arm_left/sketchup/HMI_Caper_Stacking_Chair_Tablet_Arm_Left.skp,2372488,,,images/herman_miller/caper_stacking_chair/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,3a81c749e727cd0365acec94114aa45f8321270464477c1c0935249e4f1e5560,caper_stacking_chair_tablet_arm_right,sketchup,.skp,herman_miller/caper-stacking-chair/caper_stacking_chair_tablet_arm_right/sketchup/HMI_Caper_Stacking_Chair_Tablet_Arm_Right.skp,2375136,,,images/herman_miller/caper_stacking_chair/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:cosm_chairs,4cf9348a93483721230b5f266b4de10c4f05deff5a16aeef41baa89ff2d54bd1,cosm_chair_high_back_armless,autocad_3d,.dwg,herman_miller/cosm-chairs/cosm_chair_high_back_armless/autocad_3d/HMI_Cosm_Chair_High_Back_Armless_3D.dwg,1592859,,,images/herman_miller/cosm_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,cosm chairs,cosm_chairs,,images/herman_miller/cosm_chairs/HMI_Cosm_Chair_High_Back_Leaf_Arms_mdl_c.jpg.rendition.480.360.jpg,
