product_uid,variant,image_url,provider,score,rationale,status,width,height,content_hash,local_path,created_at,updated_at,is_primary,image_score
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2016/07/25/REK_ENV_17068_20160725100226124.tif,herman_miller_api,10.0,Found via API search term: Aeron Chair,pending,,,,,1755388009,1755388009,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/02/01/REK_ENV_17456_20160725100409412.tif,herman_miller_api,10.0,Found via API search term: Aeron Chair,pending,,,,,1755388009,1755388009,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/02/01/REK_ENV_17566_20160725100434246.tif,herman_miller_api,10.0,Found via API search term: Aeron Chair,pending,,,,,1755388009,1755388009,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2016/08/11/REK_18259_20160811174342005.tif,herman_miller_api,10.0,Found via API search term: Aeron Chair,pending,,,,,1755388009,1755388009,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2016/08/11/REK_18339_20160811174651624.tif,herman_miller_api,10.0,Found via API search term: Aeron Chair,pending,,,,,1755388009,1755388009,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2016/08/11/REK_18179_20160811174200565.tif,herman_miller_api,10.0,Found via API search term: Aeron Chair,pending,,,,,1755388009,1755388009,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2021/08/16/HM_AER_61648_RET.tif,herman_miller_api,10.0,Found via API search term: Aeron Chair,pending,,,,,1755388009,1755388009,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2020/03/05/HM_NYC_Loft_09_AeronDetail_007-Hero_20200305163805431.tif,herman_miller_api,10.0,Found via API search term: Aeron Chair,pending,,,,,1755388009,1755388009,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2017/03/23/AER_27254_20170323103800240.tif,herman_miller_api,10.0,Found via API search term: Aeron Chair,pending,,,,,1755388009,1755388009,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/a/aeron_chairs/aeron_chair_b_size_fully_adjustable_arms/HMI_Aeron_Chair_B_Size_Fully_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: search_match,pending,,,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_B_Size_Fully_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,1755391219,1755391219,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/a/aeron_chairs/aeron_chair_b_size_armless/HMI_Aeron_Chair_B_Size_Armless_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: search_match,pending,,,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_B_Size_Armless_mdl_c.jpg.rendition.480.360.jpg,1755391219,1755391219,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/a/aeron_chairs/aeron_chair_a_size_height_adjustable_arms/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: search_match,pending,,,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,1755391219,1755391219,0,0.0
herman_miller:aeron_chairs,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/l/leeway_stool/leeway_stool_bar_height_wood_seat/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,1755391219,1755391219,0,0.0
herman_miller:caper_stacking_chair,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/c/caper_stacking_chair/caper_stacking_chair_fixed_arms/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: search_match,pending,,,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,1755391334,1755391334,0,0.0
herman_miller:caper_stacking_chair,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/l/leeway_stool/leeway_stool_bar_height_wood_seat/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/caper_stacking_chair/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,1755391334,1755391334,0,0.0
herman_miller:cosm_chairs,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/c/cosm_chairs/cosm_chair_high_back_leaf_arms/HMI_Cosm_Chair_High_Back_Leaf_Arms_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: search_match,pending,,,,images/herman_miller/cosm_chairs/HMI_Cosm_Chair_High_Back_Leaf_Arms_mdl_c.jpg.rendition.480.360.jpg,1755391453,1755391453,0,0.0
herman_miller:cosm_chairs,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/l/leeway_stool/leeway_stool_bar_height_wood_seat/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/cosm_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,1755391453,1755391453,0,0.0
herman_miller:eames_aluminum_group_chairs,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/l/leeway_stool/leeway_stool_bar_height_wood_seat/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/eames_aluminum_group_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,1755391574,1755391574,0,0.0
herman_miller:eames_coffee_table,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/l/leeway_stool/leeway_stool_bar_height_wood_seat/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/eames_coffee_table/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,1755391687,1755391687,0,0.0
herman_miller:eames_lounge_chair_and_ottoman,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/l/leeway_stool/leeway_stool_bar_height_wood_seat/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/eames_lounge_chair_and_ottoman/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,1755391831,1755391831,0,0.0
herman_miller:eames_molded_fiberglass_chairs,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/l/leeway_stool/leeway_stool_bar_height_wood_seat/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/eames_molded_fiberglass_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,1755391949,1755391949,0,0.0
